BA|abbr|Bachelor of Arts:||
bandstand|n|တီးမႈတ္ရန္အမိုးပါစင္ျမင့္။||
bandwagon|n|ေရပန္းစားေနေသာအလုပ္။||
bandy|adj|(ေျခ) ခြင္ေသာ။||
bandy|v|စကားမ်ားသည္။သတ္ပုတ္သည္။||
bandy-legged|adj|ေျခခြင္ေသာ။||
bandy words|idm|ရန္ေတြ႔သည္။||
bandy around|phrv|ေကာလာဟလလႊင့္သည္။ သတင္းျဖန္႔သည္။ အာေခ်ာင္သည္။||
bandy  about|phrv|ေကာလာဟလလႊင့္သည္။ သတင္းျဖန္႔သည္။ အာေခ်ာင္သည္။||
bane|n|ဒုကၡေပးေသာအရာ။ ျပႆနာ။အဆိပ္။ပ်က္စီးေစေသာအေၾကာင္း။||
bane|adj|ဆိုး၀ါးေသာ။||
baneful|adj|ဆိုးဝါးေသာ။ ဆိုးက်ဳိးျဖစ္ေစေသာ။||
bang|v|ဒုန္းခနဲ၊ ဒိုင္းခနဲ၊ ဗိုင္းခနဲျမည္ေအာင္ ထုသည္၊ ႐ိုက္သည္၊ ခ်သည္။ ဂ်ဳံးခနဲျမည္ေအာင္ ေဆာင့္မိ၊ တိုက္မိသည္။ ပိတ္သည္။ ဝင္တိုက္သည္။ ဝင္တိုးမိသည္။ ေပါက္ကဲြသံ ကဲ့သို႔ ျမည္ဟည္းသည္။||
bang|n|ဝုန္းခနဲ၊ ဒိုင္းခနဲျမည္သံ။ ႐ုတ္တရက္ ေဆာင့္မိ၊ တိုက္မိျခင္း။ ဒိုင္း-ဒိုင္း။||
bang|adv|ကြက္တိ။ အျပည့္အဝ။ လုံးဝ။ ႐ုတ္တရက္ ဝုန္းခနဲ။I||
bang around|phrv|ဝုန္းဒိုင္းျမည္ေအာင္ နင္းသြားသည္၊ ေျပးသြားသည္။||
bang about|phrv|ဝုန္းဒိုင္းျမည္ေအာင္ နင္းသြားသည္၊ ေျပးသြားသည္။||
bang goes|idm|သြားပါၿပီ။ ေရစုန္ေမ်ာပါၿပီ။||
bang on about|phrv|နားၿငီးေအာင္ ေျပာသည္။ ရွည္ရွည္ေဝးေဝးေျပာသည္။||
bang|n|ဝက္အူေခ်ာင္း။ ဖြတ္ခ်က္ ဖြတ္ခ်က္ကားအို။ အသံျမည္ေသာ မီးရွဴးမီးပန္း။ ရွဴးဒိုင္း။||
banger|n|ေပါက္ကြဲေသာမီးရွဳးတစ္မ်ိဳး။ရွဴးဒိုင္း။||
bangle|n|လက္ၾကပ္။ လက္ေကာက္။ ေျခခ်င္း။||
banister|n|ေလွကားလက္ရန္း။||
banjo|n|ဘင္ဂ်ဳိ။||
bank|n|(ျမစ္၊ ေခ်ာင္း) ကမ္းပါး။ ကန္သင္း႐ိုး။ ေျမ႐ိုး။ တာ႐ိုး။ (ကားလမ္း) အေကြ႔ ေစာင္း။ (ေလတိုက္၍ျဖစ္ေသာ) တိမ္ထု၊ ႏွင္းထု စသည္။||
bank|v|(ေလယာဥ္ စသည္) အေကြ႔တြင္ အတြင္းဘက္သို႔ ေစာင္းေပး သည္။(ဘဏ္၌) ေငြအပ္သည္။||
bank up|phrv|စုပုံသည္။||
bank  up|phrv|အစုအပုံျဖစ္ေအာင္ လုပ္သည္။ဆည္ဖို ့သည္။မီးထိုးသည္။||
bank|n|ဘဏ္။ (ေလာင္းကစား) ဒိုင္လက္ကိုင္ေငြ။  (ေသြး၊ သတင္း အခ်က္ အလက္ စသည္) ဘဏ္။||
bank balance|n|ဘဏ္လက္က်န္ေငြ။||
bank-book|n|ဘဏ္ေငြစုစာအုပ္။||
bank draft|n|ဘဏ္ေငြလႊဲစာ။||
banker|n|ဘဏ္လုပ္ငန္းရွင္ (သို႔) ဘဏ္မန္ေနဂ်ာ။  ဒိုင္ကိုင္သူ။||
bank holiday|n|အမ်ား႐ုံးပိတ္ရက္ႏွင့္ တိုက္ဆိုင္ ေသာ ဘဏ္ပိတ္ရက္။ ဥပေဒအရ ဘဏ္ပိတ္ရက္။||
banking|n|ဘဏ္လုပ္ငန္း။||
bank rate|n|ဘဏ္အတိုးႏႈန္း။||
bank statement|n|ဘဏ္ေငြစာရင္းရွင္းတမ္း။||
bank-note|n|ေငြစက္ကၠဴ။||
bank|n|(စက္ကိရိယာတြင္ တပ္ဆင္ထားေသာ) မ်ဳိးတူပစၥည္း အစဥ္အတန္း။||
bankroll|v|ေငြေၾကးေထာက္ပ့ံထားသည္။||
bankrupt|n|ေဒဝါလီခံရသူ။ လူမဲြစာခံရသူ။||
bankrupt|adj|၁။ အေၾကြးမဆပ္ႏိုင္ေသာ။  ခြၽတ္ျခံဳက်ေနေသာ။||
bankrupt|v|မဲြျပာက်ေစသည္။ ခြၽတ္ျခံဳက်ေစသည္။||
bankruptcy|n|ေဒဝါလီခံရျခင္း။ ခြၽတ္ျခံဳက်မႈ။||
banner|n|နဖူးစည္းစာတန္း။ ေအာင္လံတံခြန္။||
banner headline|n|(သတင္းစာ) ေခါင္္းစီးစာတန္း။||
banns|n|လက္ထပ္ထိမ္းျမားမည့္အေၾကာင္း ခရစ္ယာန္ ဘုရားေက်ာင္းတြင္ေၾကညာခ်က္။||
banquet|n|ဂုဏ္ျပဳထမင္းစားပဲြ။||
banquet|n|စားေသာက္ပြဲျဖင့္တည္ခင္းဧည့္ခံေကၽြးေမႊးသည္။||
banqueting|adj|ယင္းစားပဲြက်င္းပရာ။||
banshee|n|ေသျခင္းနိမိတ္ကို အသံဆိုးျဖင့္ေအာ္ျမည္ျပသည့္ မေကာင္းဆိုးဝါးမ။||
